Id,AccountId,TeamMemberRole
01MPx00000OHIRHMA5,001Tm00000BXpQQIA1,PI CSM
01MPx00000OHIRJMA5,0016g00001AOEMSAA5,PI CSM
01MPx00000OHIRLMA5,0016g00001AOCXqAAP,PI CSM
01MPx00000OHIRMMA5,001Px00000VvicRIAR,E&I CSM
01MPx00000OHIRNMA5,0014L00000FFw4bQAD,PI CSM
01MPx00000OHIRPMA5,001Px00000Vvw3pIAB,Law.com CSM
01MPx00000OHIRQMA5,001Px00000VvQqrIAF,Law.com CSM
01MPx00000OHIRRMA5,0016g00001AOD4vAAH,PI CSM
01MPx00000OHIRSMA5,0016g00001AOCQVAA5,E&I CSM
01MPx00000OHIRUMA5,001Px00000Xsi4rIAB,Law.com CSM
01MPx00000OHIRVMA5,001Px00000XiYHXIA3,PI CSM
01MPx00000OHIRWMA5,001Px00000VvbdgIAB,Law.com CSM
01MPx00000OHIRXMA5,0016g00001AOCaNAAX,E&I CSM
01MPx00000OHIRaMAP,001Px00000VvZUOIA3,PI CSM
01MPx00000OHIRcMAP,0016g00001AOCSIAA5,E&I CSM
01MPx00000OHIRdMAP,001Px00000VvaldIAB,Law.com CSM
01MPx00000OHIReMAP,001Px00000VvSKqIAN,Law.com CSM
01MPx00000OHIRfMAP,001Tm00000METyVIAX,Law.com CSM
01MPx00000OHIRgMAP,0016g00001AOCobAAH,E&I CSM
01MPx00000OHIRhMAP,0016g00001AOCYjAAP,PI CSM
01MPx00000OHIRiMAP,0016g00001AOCqfAAH,E&I CSM
01MPx00000OHIRjMAP,0014L00000m9MjXQAU,PI CSM
01MPx00000OHIRkMAP,0016g00001AO4s0AAD,PI CSM
01MPx00000OHIRlMAP,001Px00000VvjBEIAZ,Law.com CSM
01MPx00000OHIRmMAP,001Tm00000MEAuKIAX,Law.com CSM
01MPx00000OHIRnMAP,001Tm00000HG4KQIA1,PI CSM
01MPx00000OHIRoMAP,001Tm00000FuHf3IAF,PI CSM
01MPx00000OHIRqMAP,0016g00001AOCYsAAP,PI CSM
01MPx00000OHIRrMAP,001Px00000VwWSbIAN,Law.com CSM
01MPx00000OHIRsMAP,0016g00001AOCcZAAX,E&I CSM
01MPx00000OHIRuMAP,0016g00001AOD2ZAAX,PI CSM
01MPx00000OHIRvMAP,001Tm00000M2BKVIA3,PI CSM
01MPx00000OHIRwMAP,0016g00001AOCqOAAX,PI CSM
01MPx00000OHIRxMAP,001Tm00000HqJOEIA3,PI CSM
01MPx00000OHIRyMAP,001Px00000VvPVyIAN,Law.com CSM
01MPx00000OHIRzMAP,0014L00000k3dRFQAY,PI CSM
01MPx00000OHIS0MAP,001Px00000VvNVjIAN,E&I CSM
01MPx00000OHIS1MAP,0016g00001AOClIAAX,PI CSM
01MPx00000OHIS2MAP,0016g00001AODA9AAP,E&I CSM
01MPx00000OHIS3MAP,0016g00001AOD9lAAH,PI CSM
01MPx00000OHIS5MAP,0016g00001AOCwFAAX,E&I CSM
01MPx00000OHIS6MAP,001Px00000VvlJbIAJ,Law.com CSM
01MPx00000OHIS8MAP,001Tm00000M3JflIAF,PI CSM
01MPx00000OHIS9MAP,0016g00001AOCJyAAP,PI CSM
01MPx00000OHISCMA5,0016g00001AOCqvAAH,PI CSM
01MPx00000OHISDMA5,0016g00001AOCfVAAX,PI CSM
01MPx00000OHISFMA5,001Tm00000926ybIAA,PI CSM
01MPx00000OHISHMA5,0016g00001AOC9AAAX,PI CSM
01MPx00000OHISIMA5,0014L00000k4o5vQAA,PI CSM
01MPx00000OHISJMA5,0016g00001AO5kyAAD,E&I CSM
01MPx00000OHISKMA5,0016g00001AOCuLAAX,PI CSM
01MPx00000OHISLMA5,001Px00000VvXLHIA3,Law.com CSM
01MPx00000OHISMMA5,001Px00000Vvh5wIAB,Law.com CSM
01MPx00000OHISOMA5,0016g00001AOCTaAAP,PI CSM
01MPx00000OHISQMA5,001Px00000VvVuFIAV,Law.com CSM
01MPx00000OHISRMA5,001Px00000VvptbIAB,Law.com CSM
01MPx00000OHISTMA5,001Tm000007XCSzIAO,E&I CSM
01MPx00000OHISUMA5,001Px00000VvXwtIAF,Law.com CSM
01MPx00000OHISVMA5,001Px00000VwYKVIA3,Law.com CSM
01MPx00000OHISWMA5,0014L00000hwwXJQAY,PI CSM
01MPx00000OHJtHMAX,001Px00000VvbbWIAR,Law.com CSM
01MPx00000OHJyAMAX,0014L00000mAUzxQAG,E&I CSM
01MPx00000OHKUNMA5,0016g00001ANlc1AAD,PI CSM
01MPx00000OHKisMAH,0016g00001AOEDgAAP,E&I CSM
01MPx00000OHKitMAH,0016g00001AOEQLAA5,PI CSM
