AccountId,UserId,TeamMemberRole,AccountAccessLevel,OpportunityAccessLevel,CaseAccessLevel,ContactAccessLevel
001Px00000WkN5KIAV,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000WkS28IAF,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000WkhfRIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000WxNflIAF,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000XM8onIAD,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000XOIvIIAX,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000XOof0IAD,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000XVeMPIA1,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000XiYHXIA3,005Px00000Bnl4HIAR,PI CSM,Edit,Read,None,Edit
001Px00000Xs1UiIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Xs1UmIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Xs1UnIAJ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Xs1VPIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Xs1VWIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Xs1VXIAZ,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Xs1hAIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Xs1hHIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Xs1hNIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Xs1hnIAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Xs1i6IAB,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Xs1iAIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Xs1iCIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Xs1iFIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Xs1iKIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Xs1iLIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000Xs1iNIAR,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUMaIAN,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUMcIAN,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUMeIAN,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUN6IAN,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUNCIA3,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUNHIA3,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUNQIA3,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUNcIAN,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUNeIAN,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUeCIAV,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUeFIAV,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUeLIAV,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUeMIAV,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUePIAV,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUeYIAV,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
001Px00000XsUeeIAF,005Px00000Bnj46IAB,Law.com CSM,Edit,Read,None,Edit
